[2026-04-25 00:14:04.775] [INFO] [mpc_sim] SimulationLogger initialized. Log file: logs\simulation_20260425_001404.log
[2026-04-25 00:14:05.468] [INFO] [mpc_sim] k=14 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.480] [INFO] [mpc_sim] k=15 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.493] [INFO] [mpc_sim] k=16 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.500] [INFO] [mpc_sim] k=17 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.506] [INFO] [mpc_sim] k=18 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.530] [INFO] [mpc_sim] k=19 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.538] [INFO] [mpc_sim] k=20 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.548] [INFO] [mpc_sim] k=21 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.582] [INFO] [mpc_sim] k=22 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.621] [INFO] [mpc_sim] k=23 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.644] [INFO] [mpc_sim] k=24 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.686] [INFO] [mpc_sim] k=25 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.738] [INFO] [mpc_sim] k=26 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.763] [INFO] [mpc_sim] k=27 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:05.797] [INFO] [mpc_sim] k=28 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.117] [INFO] [mpc_sim] k=561 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.124] [INFO] [mpc_sim] k=562 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.132] [INFO] [mpc_sim] k=563 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.140] [INFO] [mpc_sim] k=564 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.147] [INFO] [mpc_sim] k=565 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.155] [INFO] [mpc_sim] k=566 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.165] [INFO] [mpc_sim] k=567 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.178] [INFO] [mpc_sim] k=568 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.210] [INFO] [mpc_sim] k=569 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.270] [INFO] [mpc_sim] k=570 | Constraint: slack_activated | reason=feasibility
[2026-04-25 00:14:13.301] [INFO] [mpc_sim] k=571 | Constraint: slack_activated | reason=feasibility
